seqnames	start	end	width	strand	nCpG	nCpG_sig	methDiff	avg_pfrac	avg_mfrac	score	fdr	DMRStartCourt	DMREndCourt	GeneSymbolCourt	DMRStartJoshi	DMREndJoshi	GeneSymbolJoshi	closestEnsemblGene	ASEGenes	KnownImprintedGenes	pval_imp	pval_imp_cond	beta_snp	beta_po	p_snp	p_po	AF	Marker	Blastocyst	Oocyte	Sperm	delta	pval	npns	status
chr1	7887199	7887769	571	*	33	33	-0.281217206433688	0.521212088606996	0.802429295040684	32.0739162682599	8.03727323801155e-4	NA	NA	NA	NA	NA	NA	PER3,RP3-467L1.4	PER3,RP3-467L1.4	UTS2	1.27556907337788e-14	2.66628741912172e-14	0.0395174942650538	-0.271517954071089	0.340637104552289	2.66628741912155e-14	0.0625	chr1_7781230_S	0.331294597349643	0.949152542372881	0.00969827586206897	-0.241047809824484	9.99900009999e-5	53	novel
chr1	40025274	40025652	379	*	24	22	-0.424956361976139	0.46867764793189	0.893634009908029	19.1490852932384	0.010998029094606	39558954	39559868	PPIEL	39559298	39559744	PPIEL	PABPC4	BMP8A,PABPC4,PPIEL,RP11-69E11.4	PPIEL	3.29211387445786e-4	7.51602301124769e-4	-0.0476909065893785	-0.151838974249138	0.0104589466908979	7.51602301124781e-4	0.33	chr1_39588827_S	0.331571994715984	0.863636363636364	0.0167597765363128	-0.198230549050221	9.99900009999e-5	20	known
chr1	68516215	68517473	1259	*	57	57	-0.689648186041123	0.120405489926976	0.810053675968099	35.6778870187185	4.54215595768907e-4	68049750	68051862	DIRAS3	68046855	68051591	GNG12-AS1	DIRAS3,GNG12-AS1	-	DIRAS3	5.40966481537482e-36	2.40648038793809e-34	-0.0135020860294034	-0.651475930279361	0.465966194433204	2.4064803879383e-34	0.0875	chr1_68074437_S	0.3169099756691	0.933333333333333	0.00299580587177951	-0.805014464802314	9.99900009999e-5	28	known
chr1	177001793	177001973	181	*	14	14	-0.120290676305739	0.788152650811896	0.908443327117634	14.3934237619781	0.0315243406156556	NA	NA	NA	NA	NA	NA	ASTN1	-	NA	3.54122316296873e-6	3.39709472733553e-4	-0.0716720040596183	-0.112000839457203	5.83799798641279e-5	3.39709472733557e-4	0.41027245508982	chr1_177045904_I_0	0.229299363057325	0.408839779005525	0.149228130360206	-0.0943765936523503	0.0018998100189981	22	novel
chr10	131989183	131989898	716	*	38	29	-0.150628260400442	0.517461618028698	0.66808987842914	24.5406541162028	0.00396232765070386	NA	NA	NA	NA	NA	NA	GLRX3	-	NA	1.49586322307976e-10	8.01577044567165e-9	0.0218442278052038	-0.13513341630786	0.150914767529771	8.01577044567153e-9	0.709875	chr10_130198568_I_0	0.294117647058824	0.894736842105263	0.00378787878787879	-0.140439792189165	0.0010998900109989	66	novel
chr11	2153581	2155111	1531	*	67	51	0.403738304225314	0.776525664611295	0.372787360385981	39.8743147693094	2.38647536296563e-4	2132761	2133882	IGF2	NA	NA	NA	IGF2,INS-IGF2	CDKN1C,IGF2,KCNQ1,KCNQ1OT1	CDKN1C,H19,IGF2,IGF2-AS,INS,KCNQ1,KCNQ1OT1,MIR483,OSBPL5,PHLDA2,SLC22A18,SLC22A18AS,TRPM5	6.65267495340032e-37	8.75203127650152e-35	-0.00501528384636071	0.381335908414848	0.586322562118506	8.75203127650127e-35	0.376262626262626	chr11_2147880_S	0.104710003892565	0.755952380952381	0.931234465617233	0.366281360345761	8.999100089991e-4	43	known
chr11	2167051	2170522	3472	*	82	76	0.516350046999681	0.728397903391504	0.212047856391823	105.876872511118	0	2147103	2148538	IGF2	NA	NA	NA	IGF2-AS,INS-IGF2	CDKN1C,IGF2,KCNQ1,KCNQ1OT1	CDKN1C,H19,IGF2,IGF2-AS,INS,KCNQ1,KCNQ1OT1,MIR483,OSBPL5,PHLDA2,SLC22A18,SLC22A18AS,TRPM5	5.5339106062718e-222	1.96082212222905e-219	-0.0160853361743968	0.582514159185647	0.015572587435158	1.9608221222296e-219	0.224747474747475	chr11_2139929_S	0.054005400540054	0.0847029077117573	0.928503032237472	0.583001622289357	9.99900009999e-5	66	known
chr11	2720330	2721866	1537	*	149	117	-0.751084194354701	0.0429249916760627	0.794009186030764	66.0708776395193	0	2698718	2701029	KvDMR1	NA	NA	NA	KCNQ1,KCNQ1OT1	CDKN1C,IGF2,KCNQ1,KCNQ1OT1	CDKN1C,H19,IGF2,IGF2-AS,INS,KCNQ1,KCNQ1OT1,MIR483,OSBPL5,PHLDA2,SLC22A18,SLC22A18AS,TRPM5	5.45748595187014e-91	1.30824429563296e-87	-0.0211108471823432	-0.745064490191509	0.0185061629820635	1.30824429563296e-87	0.497381443298969	chr11_2709421_I_0	0.384716444055178	0.893496701225259	0.00462962962962963	-0.923054798356057	9.99900009999e-5	44	known
chr11	7110074	7110614	541	*	52	49	-0.340003577550724	0.484960358528836	0.82496393607956	44.5538560901293	1.34510429549279e-4	NA	NA	NA	NA	NA	NA	RBMXL2	-	ZNF215	2.14837345843079e-37	5.31067303345279e-31	-0.0623541807127598	-0.326021827393701	9.71118441587845e-5	5.31067303345264e-31	0.359025862068966	chr11_7050464_I_0	0.312202852614897	0.882231404958678	0.00204081632653061	-0.423873454091494	9.99900009999e-5	38	novel
chr11	60414485	60414918	434	*	31	25	-0.207129875650029	0.659940215035483	0.867070090685512	37.3872955103505	3.15150296426143e-4	NA	NA	NA	NA	NA	NA	LINC00301	-	NA	1.72804203603186e-30	1.75114291559235e-29	0.0329772363014737	-0.223000070587371	0.239543806557383	1.75114291559258e-29	0.0576457286432161	chr11_60610856_I_1	0.338388625592417	0.640243902439024	0.00595238095238095	-0.20898545151938	9.99900009999e-5	51	novel
chr12	312595	313317	723	*	82	57	-0.150158139218376	0.0974003309721216	0.247558470190497	30.0868573241828	0.00114552809472014	NA	NA	NA	NA	NA	NA	RP11-283I3.2,SLC6A12	RP11-598F7.3,SLC6A12	NA	1.74512381949059e-5	2.29191668042714e-4	-0.0104040473523003	-0.105028401555595	0.402639530581974	2.29191668042714e-4	0.652881443298969	chr12_160176_I_0	0.32409972299169	0.829473684210526	0.00593952483801296	-0.0797700956895009	0.0010998900109989	45	novel
chr12	34371861	34372510	650	*	36	22	0.128078052940514	0.404638114181743	0.27656006124123	14.8877209010397	0.0287473568969886	NA	NA	NA	NA	NA	NA	RP11-313F23.4	-	NA	0.00186860070955172	0.00263147089413591	0.0478528701165894	0.0940667017474296	0.00112965807757917	0.002631470894136	0.290841666666667	chr12_34195094_I_0	0.00456968773800457	0.0337837837837838	0.00767918088737201	0.0890835259878116	0.0052994700529947	38	novel
chr12	34515909	34516755	847	*	48	15	-0.120520073462712	0.641173829709649	0.761693903172361	13.3689437718305	0.0397375040241043	NA	NA	NA	NA	NA	NA	AK6P1	-	NA	2.94615082801471e-6	2.94310709704515e-5	-0.0468197137846875	-0.0976727678284192	1.48387582751205e-4	2.94310709704508e-5	0.1377975	chr12_34400136_S	0.0639213275968039	0.195364238410596	0.0129380053908356	-0.130486425221088	2.999700029997e-4	41	novel
chr12	34525141	34527047	1907	*	77	24	-0.110525329459367	0.600006187984185	0.710531517443552	19.351309809232	0.0106366028184183	NA	NA	NA	NA	NA	NA	AK6P1	-	NA	8.895738017391041e-016	1.21342736763697e-15	-0.0123305759158941	-0.105430734602828	0.20145431130629	1.21342736763701e-15	0.0975	chr12_34323266_S	0.393121462777536	0.880368098159509	0.0243318707618668	-0.116208500576753	9.99900009999e-5	46	novel
chr12	65515703	65516059	357	*	26	22	-0.160673198317681	0.704585899187906	0.865259097505587	23.5472981678003	0.00493524341577488	NA	NA	NA	NA	NA	NA	WIF1	-	WIF1	1.62046388492661e-12	1.38391162594066e-10	0.034702245718875	-0.163016675092221	0.00960759855979597	1.38391162594071e-10	0.379410179640719	chr12_65106373_I_0	0.46952380952381	0.609704641350211	0.00404448938321537	-0.175667171917923	0.0010998900109989	19	novel
chr13	48891301	48894961	3661	*	205	162	-0.656188879006101	0.249459428588363	0.905648307594464	88.1826763737194	0	48318205	48321627	RB1	48318414	48321343	RB1	PPP1R26P1,RB1	CYSLTR2,LPAR6,PPP1R26P1,RB1,RCBTB2,RP11-305D15.8	LPAR6,RB1	3.87956573367303e-70	9.85266735009439e-70	0.0100214455002487	-0.654504857778876	0.469039845921193	9.85266735009607e-70	0.1075	chr13_48364761_I	0.393825301204819	0.951485748938751	0.00226244343891403	-0.673719322460741	9.99900009999e-5	45	known
chr13	60841654	60843379	1726	*	37	36	-0.467376694389738	0.253672447400053	0.72104914178979	50.9838893127215	7.7063266928922e-5	NA	NA	NA	NA	NA	NA	TARDBPP2	TARDBPP2	NA	3.71462880217457e-44	1.48359555182564e-42	0.0548237485933801	-0.402783758542351	5.95509216365678e-4	1.48359555182577e-42	0.175	chr13_60243415_S	0.365698086463501	0.891774891774892	0.0629322268326418	-0.424520765904358	9.99900009999e-5	58	novel
chr13	81228960	81229407	448	*	29	25	-0.205183837921249	0.31217092255255	0.517354760473799	27.2612483441588	0.00210462439337583	NA	NA	NA	NA	NA	NA	PWWP2AP1	-	NA	1.1096273253351e-11	6.52150424419863e-11	-0.104506532846467	-0.189074968138565	1.02870422400057e-4	6.52150424419883e-11	0.1075	chr13_80654975_S	0.427728613569322	0.855491329479769	0.00633579725448786	-0.167984090161064	6.999300069993e-4	42	novel
chr14	34268947	34269852	906	*	110	70	-0.165853626680566	0.138317594257878	0.304171220938444	28.1103036925476	0.00175762688382532	NA	NA	NA	NA	NA	NA	NPAS3	-	NA	9.11374660641792e-9	1.40628276847995e-7	-0.0207103750966599	-0.126868354190091	0.103808782627833	1.40628276848001e-7	0.316753886010363	chr14_33831749_I_0	0.38749582079572	0.8284625158831	0.00570469798657718	-0.112509246600297	8.999100089991e-4	28	novel
chr14	69341494	69341709	216	*	23	17	-0.215433549677511	0.717653146294772	0.933086695972284	13.2608741448692	0.0406042838019799	NA	NA	NA	NA	NA	NA	ACTN1	-	NA	1.58844651805849e-4	0.00148602815941283	0.0631336679939391	-0.206479525945295	0.0202180922803603	0.00148602815941282	0.402555	chr14_68858105_I_0	0.409420289855072	0.957894736842105	0.00557103064066852	-0.20672531769306	0.0188981101889811	10	novel
chr14	101193851	101194748	898	*	30	15	-0.12917634063187	0.349091811906938	0.478268152538807	14.8963512745246	0.0286924216951865	NA	NA	NA	NA	NA	NA	DLK1	DLK1,MEG3,MEG9	DIO3,DLK1,MEG3,MEG8,MEG9,MIR134,MIR337,RTL1	2.13752630230176e-6	7.48153114877978e-6	0.0632658515448712	-0.111655665278182	3.82429985508664e-5	7.48153114877987e-6	0.829145728643216	chr14_100678359_S	0.00766283524904215	0.0108303249097473	0.1	-0.0781199922301124	0.0070992900709929	43	close to known
